file,report_type,process_time_seconds
44651.txt,consultation_notes,27.176
187518.txt,consultation_notes,42.71
170012.txt,consultation_notes,27.257
236853.txt,consultation_notes,31.974
consultation_notes_example.txt,consultation_notes,28.893
1302380.txt,consultation_notes,29.267
1259610.txt,consultation_notes,31.297
62806.txt,consultation_notes,31.272
44651.txt,pathology_reports,21.197
pathology_report_example.txt,pathology_reports,23.285
236853.txt,pathology_reports,22.248
1244601.txt,pathology_reports,16.593
129701.txt,pathology_reports,17.273
166906.txt,pathology_reports,16.319
1302380.txt,pathology_reports,77.76
44651.txt,consultation_notes,27.97
187518.txt,consultation_notes,41.284
170012.txt,consultation_notes,27.341
236853.txt,consultation_notes,35.699
consultation_notes_example.txt,consultation_notes,31.338
1302380.txt,consultation_notes,30.166
1259610.txt,consultation_notes,33.828
62806.txt,consultation_notes,29.688
44651.txt,pathology_reports,21.444
pathology_report_example.txt,pathology_reports,22.586
236853.txt,pathology_reports,22.251
1244601.txt,pathology_reports,16.656
129701.txt,pathology_reports,17.656
166906.txt,pathology_reports,16.858
1302380.txt,pathology_reports,66.716
