FieldName,FleissKappa
Alcohol_Consumption,-0.7972681524083393
Anatomic_Site_of_Lesion,-0.8573551263001487
Charlson_Comorbidity_Score,-0.4036831335866705
Clinical_Assessments_Radiological_Lesions,-0.9231077292751301
Clinical_Assessments_SUV_from_PET_scans,-0.8875786163522013
Clinical_TNM,-0.4084507042253521
EBER_Status,-0.9245573518090837
ECOG_Performance_Status,-0.6902499120028159
Follow_Up_Plans,-0.9245573518090837
HPV_Status,-0.544163063619518
Immunohistochemical_profile,-0.8573551263001487
Karnofsky_Performance_Status,-0.7392249185077872
Lymph_Node_Status_Extranodal_Extension,-0.5762925598991171
Lymph_Node_Status_Number_of_Positve_Lymph_Nodes,-0.42531356898517675
Lymph_Node_Status_Presence_Absence,-0.6118633139909734
Lymphovascular_Invasion_Status,-0.8573551263001487
Pack_Years,-0.6949152542372882
Pathological_TNM,-0.6512549537648612
Pathology_Details,-0.7972681524083393
Patient_History_Status_Previous_Treatments,-0.5708210664049723
Patient_History_Status_Prior_Conditions,-0.5151515151515154
Patient_Symptoms_at_Presentation,-0.5762925598991171
Perineural_Invasion_Status,-0.7972681524083393
Primary_Tumor_Size,-0.6949152542372882
Resection_Margins,-0.8573551263001487
Sex,-0.764144011756062
Smoking_History,-0.9245573518090837
Treatment_Recommendations,-0.7972681524083393
Tumor_Type_Differentiation,-0.5762925598991171
p16_Status,-0.9245573518090837
